Altium Designer Pick and Place Locations
C:\Users\JonathanGarnier\AppData\Local\Temp\Releases\Snapshot\1\Sources\Pick Place\Pick Place for rpi_pico_2_hat.txt

========================================================================================================================
File Design Information:

Date:       05/12/24
Time:       14:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Center-X(mil) Center-Y(mil) Comment                   Description                                                                                                           Designator Footprint                   Layer       Rotation 
708.661       1811.024      2011-1X02G00SB-1          "Conn Straight Header 2x1 0.100" 2 POS"                                                                               H6         HDR1X2                      TopLayer    270      
614.173       1228.346      MCR01MZPF4702             "RES SMD 47K OHM ±1% 1/16W 0402"                                                                                      R34        RESC1005X04N                TopLayer    270      
921.260       1141.732      MCR01MZPF4702             "RES SMD 47K OHM ±1% 1/16W 0402"                                                                                      R33        RESC1005X04N                TopLayer    270      
551.181       1228.346      MCR01MZPF4702             "RES SMD 47K OHM ±1% 1/16W 0402"                                                                                      R32        RESC1005X04N                TopLayer    270      
492.126       1228.346      MCR01MZPF4702             "RES SMD 47K OHM ±1% 1/16W 0402"                                                                                      R31        RESC1005X04N                TopLayer    270      
921.260       996.063       MCR01MZPF4702             "RES SMD 47K OHM ±1% 1/16W 0402"                                                                                      R29        RESC1005X04N                TopLayer    270      
275.591       1822.834      SHT40-AD1B-R3             "IC, Humidity Temperature Sensor 0 ~ 100% RH I²C ±1.8% RH 6 s Surface Mount"                                          U4         DFN140P150X59-4N            TopLayer    270      
275.591       1759.842      C1005X7R1H104K050BE       "CAP CER 100NF 50V ±10% X7R 0402"                                                                                     C10        0402_cap                    TopLayer    180      
602.362       1311.024      RC0402FR-07470RL          "RES SMD 470R OHM ±1% 1/16W 0402"                                                                                     R27        0402_res                    TopLayer    90       
925.197       1600.394      XZVGR68W-3                "LED GREEN 0402 SMD"                                                                                                  D4         LED_0402_GREEN              TopLayer    90       
720.472       1413.386      C1005X5R0J475K050BC       "CAP CER 4.7UF 6.3V ±10% X5R 0402"                                                                                    C7         0402_cap                    TopLayer    90       
744.095       1480.315      RC0402FR-072KL            "RES SMD 2K OHM ±1% 1/16W 0402"                                                                                       R21        0402_res                    TopLayer    90       
271.654       1332.677      RC0603JR-070RL            "RES SMD 0R OHM ±5% 1/10W 0603"                                                                                       R22        RESC1608X06N                TopLayer    270      
664.103       1519.685      RC0402FR-07100KL          "RES SMD 100K OHM ±1% 1/16W 0402"                                                                                     R23        0402_res                    TopLayer    0        
275.590       1413.386      RC0402FR-07330RL          "RES SMD 330R OHM ±1% 1/16W 0402"                                                                                     R24        RESC1005X04N                TopLayer    180      
925.197       1519.685      ERJ-2RKF1001X             "RES SMD 1K OHM ±1% 1/10W 0402"                                                                                       R25        RESC1005X04N                TopLayer    90       
925.197       1696.850      ERJ-2RKF1001X             "RES SMD 1K OHM ±1% 1/10W 0402"                                                                                       R26        RESC1005X04N                TopLayer    90       
925.197       1773.622      XZVGR68W-3                "LED GREEN 0402 SMD"                                                                                                  D5         LED_0402_GREEN              TopLayer    90       
330.709       1598.917      BM04B-SRSS-TB             "Board Connector, 4 Contact(s), 1 Row(s), Male, Straight, Surface Mount Terminal"                                     H5         FP-BM04B-SRSS-TBT_LF_SN-MFG TopLayer    180      
51.315        1212.599      ERJ-2RKF1001X             "RES SMD 1K OHM ±1% 1/10W 0402"                                                                                       R42        RESC1005X04N                TopLayer    180      
